dataset,method,repeat,n,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,LR,5,13731,0.8119926380360253,0.4591143710948112,0.10819591577731696,0.009939739378148758,0.34935993414131417,-0.03435326891226166,0.971184564098647
nhanes_dm,LR,6,13731,0.8132880196553504,0.45998655010087425,0.10784175049557536,0.011980684303045509,0.3481411153135752,0.014718991513940198,1.024035749460726
nhanes_dm,LR,7,13731,0.8121077586454959,0.4519015659955257,0.10822107660000728,0.011871893504621483,0.3492126397500885,-0.02664390103780871,0.9847320184608278
nhanes_dm,LR,8,13731,0.8126026313921614,0.4547625364818254,0.10816188032416772,0.011978687764201626,0.3489839064614081,-0.03819401949905349,0.9810722912524242
nhanes_dm,LR,9,13731,0.812386018407148,0.4680299539170507,0.10825615069029029,0.013010952433903065,0.34922376652049447,0.023691551971537637,0.9996703951556777
nhanes_dm,Random Forest,0,13731,0.8257425668974434,0.47301762114537443,0.10592981554792,0.011702275281893089,0.3396501531810931,0.006013590612310114,1.0342249095695133
nhanes_dm,Random Forest,1,13731,0.8247626728987261,0.474090407938258,0.10647592644672736,0.010733563208055729,0.34060943873125293,0.011474478552039894,1.017101183461733
nhanes_dm,Random Forest,2,13731,0.8251310348697349,0.4647499015360378,0.10638683047500122,0.008845874685622236,0.34011747998834724,0.013401923986412174,1.0054504030585958
nhanes_dm,Random Forest,3,13731,0.8230889379345449,0.4696290256828373,0.10670680377596467,0.00756843547164949,0.3413353140867377,0.01616809619661448,1.001969860928767
nhanes_dm,Random Forest,4,13731,0.8241533989215072,0.4704598171646882,0.10645368259197538,0.015844690573236755,0.3415737844056844,0.1330111331484103,1.1185980961567878
nhanes_dm,Random Forest,5,13731,0.8261868033614499,0.4771881461061337,0.10629160973781654,0.011719870208330348,0.3398344385589537,0.027106104388616215,1.0129073882221262
nhanes_dm,Random Forest,6,13731,0.8243935116178097,0.4679255390384358,0.10648580610159282,0.007984796602493209,0.3406195582420616,-0.03485801994321801,0.9982944335104635
nhanes_dm,Random Forest,7,13731,0.8239478963442123,0.47018287834614364,0.10659766159544763,0.00950318869928244,0.34072675928746027,0.01771479428249432,1.0146932371641542
nhanes_dm,Random Forest,8,13731,0.8220049338203368,0.46753940689286666,0.10696323930355506,0.00918978284226929,0.3423812783564929,-0.056013722596858544,0.9725830682713298
nhanes_dm,Random Forest,9,13731,0.8265224935399773,0.4807859000288934,0.10623026136750811,0.011885702341309028,0.33906974913919463,-0.002217287194328804,0.9871929314366353
nhanes_dm,RuleFit,0,13731,0.8087564320468281,0.46227342981593367,0.108398667009339,0.008348649860383887,0.3492757583500642,-0.0024415777609482327,1.0223802081360238
nhanes_dm,RuleFit,1,13731,0.8098822600519615,0.46102962323842395,0.10844526726616172,0.010829813989497393,0.34838497909787136,0.011115236778698299,1.00932751970414
nhanes_dm,RuleFit,2,13731,0.8113243949703585,0.4580896686159844,0.10827620394902025,0.008512830951921093,0.3479055056525935,-0.019365390871762114,0.984882278171644
nhanes_dm,RuleFit,3,13731,0.811277455496023,0.46604414261460103,0.10788448607682166,0.00620087602909683,0.3472375107449226,0.03195805167050862,1.0156067859107978
nhanes_dm,RuleFit,4,13731,0.812217923533538,0.4531394580304032,0.1073344503217801,0.010456189045272993,0.3468845263603502,0.11498203890081643,1.1004649934635726
nhanes_dm,RuleFit,5,13731,0.8106612674881014,0.4495841995841996,0.10799023628669453,0.007219287190294917,0.3476920524430375,-0.004050254896136682,1.006596182662509
nhanes_dm,RuleFit,6,13731,0.8089606357455228,0.4516215491825248,0.10853730471032334,0.00843955504222287,0.3493301966984638,-0.018930268670537594,1.0057517141094794
nhanes_dm,RuleFit,7,13731,0.8071651259168884,0.45712630359212053,0.10871620323784745,0.00660525066285162,0.35016378815499016,-0.03559563973155217,0.9769104400346316
nhanes_dm,RuleFit,8,13731,0.8099102159159868,0.45505304299274146,0.10840075270747371,0.008207323678431326,0.34882425321460075,-0.05049434267362037,0.9721609131103911
