dataset,repeat,fold,iteration,validation_auc,validation_nll,ess_before_resampling,resampled,mh_proposals,mh_acceptances,acceptance_rate,unique_rule_count
nhanes_dm,7,2,4,0.7359256819300015,0.4188049377299125,19.42989877299645,0,0,0,,20
nhanes_dm,7,2,5,0.7373210915327545,0.4182544968230582,19.456137103179834,0,0,0,,20
nhanes_dm,7,2,6,0.738805451548432,0.4160433785669643,19.514513091314587,0,0,0,,20
nhanes_dm,7,2,7,0.7400146212241244,0.4145543989306623,19.541740299342734,0,0,0,,20
nhanes_dm,7,2,8,0.7396282428679837,0.4143273921240963,19.555801976939687,0,0,0,,20
nhanes_dm,7,2,9,0.7397255323821198,0.4146852112132771,19.54992310167677,0,0,0,,20
nhanes_dm,7,2,10,0.7402425566572434,0.4139253589036694,19.556157254075632,0,0,0,,20
nhanes_dm,7,3,1,0.7136255354397903,0.42335754914983,19.45737188205157,0,0,0,,20
nhanes_dm,7,3,2,0.7138173347676587,0.4233593953741101,19.47952863804451,0,0,0,,20
nhanes_dm,7,3,3,0.713403159407479,0.4234019107336276,19.472739535058896,0,0,0,,20
nhanes_dm,7,3,4,0.7139285227838144,0.4232645358953337,19.467685737725347,0,0,0,,20
nhanes_dm,7,4,1,0.7025908889381512,0.4975455067064705,19.05121787287065,0,0,0,,20
nhanes_dm,7,4,2,0.7008146752383064,0.4978538009712178,19.08658888568702,0,0,0,,20
nhanes_dm,7,4,3,0.7020256040789182,0.4964402228468976,19.143887652063373,0,0,0,,20
nhanes_dm,7,4,4,0.7029178674351585,0.4952170596643364,19.16387915393694,0,0,0,,20
nhanes_dm,7,5,1,0.7174393150077589,0.4943597039512212,19.052169634057154,0,0,0,,20
nhanes_dm,7,5,2,0.7173672688982486,0.4936083991332454,19.088484217459357,0,0,0,,20
nhanes_dm,7,5,3,0.7178355686100644,0.491291805609083,19.10896285568437,0,0,0,,20
nhanes_dm,7,5,4,0.7176277432941699,0.4925422109859864,19.09803949161876,0,0,0,,20
nhanes_dm,8,1,1,0.7171738230053565,0.475934373649924,19.14260746147995,0,0,0,,20
nhanes_dm,8,1,2,0.7174267757421106,0.4758157625798607,19.14386791465461,0,0,0,,20
nhanes_dm,8,1,3,0.7178604090051174,0.4751860636658763,19.136018236028217,0,0,0,,20
nhanes_dm,8,1,4,0.7178576293047135,0.4744971967409477,19.13010759133524,0,0,0,,20
nhanes_dm,8,2,1,0.6964900723000075,0.4601920795079272,19.04897176912653,0,0,0,,20
nhanes_dm,8,2,2,0.6963427481786013,0.4600876936952513,19.076574465467264,0,0,0,,20
nhanes_dm,8,2,3,0.6963761045834481,0.4602010572833235,19.10972484127671,0,0,0,,20
nhanes_dm,8,2,4,0.6962704759681001,0.4601679860743726,19.1210264949904,0,0,0,,20
nhanes_dm,8,3,1,0.6969153664618027,0.4951675079541102,18.977543878130884,0,0,0,,20
