variant,repeat,fold,training_time_seconds,rule_count,average_condition_length,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
Single best rule,6,5,3.312829411999701,20,1.8,0.6887314334645795,0.4123856439127375,0.12170786691810842,0.0018636605658120516,0.3958550370136128,0.025891727419455994,1.0231524320498897
Full EBRO-MH,7,1,3.938709863999975,20,1.95,0.7127505833554567,0.39021249195106245,0.11880331023430983,0.006902244080598675,0.39197905112473125,-0.08413121823661367,0.9530118562166404
Uniform prior,7,1,2.0385060909993626,20,1.85,0.7545989768075037,0.3820580474934037,0.11845518537175992,0.020766765387082227,0.3825960105290453,-0.00029699664434915595,1.0051831760815353
Without MH rejuvenation,7,1,2.8485057799998685,20,1.95,0.7127505833554567,0.39021249195106245,0.11880331023430983,0.006902244080598675,0.39197905112473125,-0.08413121823661367,0.9530118562166404
Single best rule,7,1,2.5090139809999528,20,1.95,0.5769130965046578,0.30318091451292245,0.1311997029616391,0.010883634808796155,0.42967160320820347,-0.3801155458970105,0.7625758399766787
Full EBRO-MH,7,2,3.149878969999918,20,1.85,0.7280917477177395,0.3817733990147783,0.12260152384964326,0.029427675596781364,0.3962423960693323,-0.20307170062386884,0.8776628503947249
Uniform prior,7,2,1.6412441049997142,20,1.9,0.7319653250180475,0.3980309423347398,0.12120837579858745,0.022679278747149662,0.3924965405742318,-0.2702499965510427,0.8415203422021715
Without MH rejuvenation,7,2,3.850166799999897,20,1.85,0.7280917477177395,0.3817733990147783,0.12260152384964326,0.029427675596781364,0.3962423960693323,-0.20307170062386884,0.8776628503947249
Single best rule,7,2,3.264387455999895,20,1.85,0.548558254428978,0.2883031301482702,0.13230907659688312,2.887163969625406e-05,0.4338312915819715,3.1006418780300447,2.8574248197334464
Full EBRO-MH,7,3,3.280718916999831,20,1.9,0.7203296160171099,0.38974358974358975,0.12013900679976655,0.0240808544340175,0.39369926254641724,0.110971506982808,1.0510212114322635
Uniform prior,7,3,1.7111531880000257,20,1.85,0.7063574794139761,0.3789746917585983,0.1221660891268065,0.020445046669156787,0.40001075271085246,0.18485122965469358,1.1063253871859469
Without MH rejuvenation,7,3,2.958730428999843,20,1.9,0.7203296160171099,0.38974358974358975,0.12013900679976655,0.0240808544340175,0.39369926254641724,0.110971506982808,1.0510212114322635
Single best rule,7,3,2.905619490999925,20,1.9,0.5189580131978205,0.21805183199285075,0.13273124331771266,0.0003785560815814937,0.4354717522915753,-0.6064704383605707,0.6380665215961187
