dataset,variant,repeat,fold,training_time_seconds,rule_count,average_condition_length,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,Outcome-blind random,6,1,1.9987221169994882,20,1.2,0.6203219283765252,0.32847990681421085,0.12980217784464074,0.009608222103659742,0.4240439463235652,0.548607345266625,1.3403233761504012
nhanes_dm,Quantile clinical,6,2,3.3905649969992737,20,1.75,0.7421257896675981,0.40087783467446964,0.12008250992550773,0.024611568229190844,0.3878469282556878,-0.09681015974919747,0.9019545039640149
nhanes_dm,Outcome-blind random,6,2,2.7148978149998584,20,1.5,0.5522546027124526,0.28463476070528965,0.1320459274855756,0.009917132915074487,0.43304106551859806,0.2639048191525016,1.150530042451774
nhanes_dm,Quantile clinical,6,3,8.658900450999681,20,1.85,0.7413135316101681,0.39775561097256856,0.120587349609837,0.016800591895812348,0.3882949635063563,-0.16910164646598017,0.8899808258440486
nhanes_dm,Outcome-blind random,6,3,3.7462560579997444,20,1.7,0.6675842636608625,0.3449296817172465,0.12707465202926768,0.009550251376804608,0.41382901093221486,0.11022569520453115,1.075595990935048
nhanes_dm,Quantile clinical,6,4,3.1609187889998793,20,1.8,0.7743780810845418,0.4202626641651032,0.11442230639781491,0.02357133317491636,0.37281965541935425,0.27636226733819896,1.2274144132056113
nhanes_dm,Outcome-blind random,6,4,2.0243211739998515,20,1.55,0.5696695236723326,0.27091136079900124,0.13156741730017024,0.0029947548462305696,0.43115944052371075,0.5486965126760285,1.345452347412943
nhanes_dm,Quantile clinical,6,5,2.893539243000305,20,1.8,0.7429295111879382,0.37416020671834627,0.11906753379974096,0.022877865661133343,0.38575451943862643,-0.024683585637039727,1.0032985876909584
nhanes_dm,Outcome-blind random,6,5,1.7446399190002921,20,1.45,0.6591620250328115,0.3337066069428891,0.12689557307623028,0.005202157581339663,0.41371853290629473,0.07805825113736903,1.0685351838352528
nhanes_dm,Quantile clinical,7,1,2.369583256000624,20,1.95,0.7127505833554567,0.39021249195106245,0.11880331023430983,0.006902244080598675,0.39197905112473125,-0.08413121823661367,0.9530118562166404
nhanes_dm,Outcome-blind random,7,1,1.5327400070000294,20,1.55,0.5339962992608502,0.10069444444444445,0.13253610714065966,0.0002647227432752301,0.4348034805357001,0.10292192763448964,1.0626212205932248
nhanes_dm,Quantile clinical,7,2,3.3694152890002442,20,1.85,0.7280917477177395,0.3817733990147783,0.12260152384964326,0.029427675596781364,0.3962423960693323,-0.20307170062386884,0.8776628503947249
nhanes_dm,Outcome-blind random,7,2,1.9330474030002733,20,1.65,0.5122218128481553,0.2191592005513439,0.13284051923056175,0.00011033085445519286,0.4358811558315279,-0.9426141736695043,0.43676446110429795
nhanes_dm,Quantile clinical,7,3,2.8397464160007075,20,1.9,0.7203296160171099,0.38974358974358975,0.12013900679976655,0.0240808544340175,0.39369926254641724,0.110971506982808,1.0510212114322635
nhanes_dm,Outcome-blind random,7,3,1.797420756000065,20,1.75,0.6001943029108493,0.2889079965606191,0.13106544656022073,0.006605774527268579,0.42867436506724127,-0.3661700400054854,0.7704354721972844
nhanes_dm,Quantile clinical,7,4,3.078161022000131,20,1.8,0.7320161696917317,0.37361477572559365,0.12143640099177096,0.02574395102107616,0.39294438741937093,0.03473856971551723,1.0482273916506264
nhanes_dm,Outcome-blind random,7,4,1.8936750839993692,20,1.8,0.6010035532507443,0.2939453125,0.1303474871974052,0.004712809054313835,0.42675910924277577,0.16650957915027223,1.0998871491118012
nhanes_dm,Quantile clinical,7,5,2.879636800999833,20,1.8,0.7139263020583246,0.38740157480314963,0.12141268071537414,0.01436940545239861,0.3962639274606644,-0.11339115733154187,0.8954410682578805
nhanes_dm,Outcome-blind random,7,5,1.8156092389999685,20,1.4,0.5478248343416883,0.2821279139270771,0.1328108053602927,0.017210625427484458,0.43577661429277664,-0.9013773289057038,0.4603167355371071
nhanes_dm,Quantile clinical,8,1,2.9142806429999837,20,1.85,0.718638531201782,0.3801749271137026,0.12264434468467585,0.028871633105550628,0.39784810575590557,0.015134323638149667,1.0279404501106881
nhanes_dm,Outcome-blind random,8,1,1.8233896820001974,20,1.75,0.637175361939874,0.32582099162910494,0.12840627969016855,0.007331726505265522,0.4205481553868425,0.021120749569849443,1.008368927572926
nhanes_dm,Quantile clinical,8,2,2.8347802970001794,20,1.8,0.7457906860410433,0.37342727730246605,0.11842768893863623,0.02192717368027447,0.38551238675374994,0.08057666819451599,1.041199436228371
nhanes_dm,Outcome-blind random,8,2,1.816087135000089,20,1.85,0.5405025715680725,0.27749708511465215,0.1325128622408388,0.0009349658303959485,0.43459267128645307,0.5896607187159312,1.352484669518354
nhanes_dm,Quantile clinical,8,3,2.3616325319999305,20,1.75,0.6636757397938552,0.3342036553524804,0.1246308570458232,0.014708149314090906,0.409471956697912,-0.17793786893192048,0.908515862509415
nhanes_dm,Outcome-blind random,8,3,1.6429629639997074,20,1.75,0.5650450461244757,0.2600216684723727,0.132117093909495,0.014892381753972103,0.43387506711556195,-0.6751443502107511,0.6000510451078085
nhanes_dm,Quantile clinical,8,4,3.7449271779996707,20,1.8,0.7106646539581933,0.38794435857805254,0.12424040106379884,0.028808886660159006,0.4010687822977511,-0.1472809784142683,0.907638290504866
nhanes_dm,Outcome-blind random,8,4,1.8246024449999823,20,1.5,0.5314820816927559,0.2506631299734748,0.13248217886862357,0.0022401052321511135,0.43490126967434395,-0.43896598626385264,0.7384513297026584
