threshold,net_benefit,treat_all,analysis,method
0.45999999999999996,0.08021400931848695,-0.16678512200900258,NHANES CKD cross-validation,LR
0.47,0.07711107535100777,-0.18879993563181402,NHANES CKD cross-validation,LR
0.4799999999999999,0.07995735607675908,-0.21166147285550269,NHANES CKD cross-validation,LR
0.48999999999999994,0.075536184623103,-0.23541954095070855,NHANES CKD cross-validation,LR
0.49999999999999994,0.07249466950959489,-0.26012793176972276,NHANES CKD cross-validation,LR
0.02,0.35707758583177407,0.35707758583177407,NHANES CKD cross-validation,Random Forest
0.03,0.3504495197063284,0.3504495197063284,NHANES CKD cross-validation,Random Forest
0.039999999999999994,0.34368336886993606,0.343683368869936,NHANES CKD cross-validation,Random Forest
0.049999999999999996,0.33677477275277745,0.33677477275277745,NHANES CKD cross-validation,Random Forest
0.06,0.32971918522887084,0.32971918522887084,NHANES CKD cross-validation,Random Forest
0.06999999999999999,0.3225921085815164,0.322511864639934,NHANES CKD cross-validation,Random Forest
0.07999999999999999,0.3155186798924632,0.3151478631686289,NHANES CKD cross-validation,Random Forest
0.09,0.3078270343728766,0.3076220155111413,NHANES CKD cross-validation,Random Forest
0.09999999999999999,0.30075811419095,0.2999289267945984,NHANES CKD cross-validation,Random Forest
0.10999999999999999,0.29297333556934435,0.292062959679931,NHANES CKD cross-validation,Random Forest
0.11999999999999998,0.28544776119402987,0.28401822058538473,NHANES CKD cross-validation,Random Forest
0.12999999999999998,0.27723451706982327,0.27578854495992944,NHANES CKD cross-validation,Random Forest
0.13999999999999999,0.2684459760995686,0.2673674815292309,NHANES CKD cross-validation,Random Forest
0.14999999999999997,0.2618838580208203,0.25874827542957485,NHANES CKD cross-validation,Random Forest
0.15999999999999998,0.2547974413646056,0.24992385013706975,NHANES CKD cross-validation,Random Forest
0.16999999999999996,0.2481439617746038,0.24088678809052844,NHANES CKD cross-validation,Random Forest
0.17999999999999997,0.23940402517031573,0.2316293098965105,NHANES CKD cross-validation,Random Forest
0.18999999999999997,0.232402800810761,0.22214325199399826,NHANES CKD cross-validation,Random Forest
0.19999999999999996,0.22454690831556504,0.21242004264392325,NHANES CKD cross-validation,Random Forest
0.20999999999999996,0.21387411945696475,0.20245067609511216,NHANES CKD cross-validation,Random Forest
0.21999999999999995,0.20493685419058555,0.1922256847629982,NHANES CKD cross-validation,Random Forest
0.22999999999999995,0.20030875308060814,0.18173510924043976,NHANES CKD cross-validation,Random Forest
0.23999999999999996,0.19066322522724724,0.17096846594097187,NHANES CKD cross-validation,Random Forest
0.24999999999999994,0.1824804548685146,0.15991471215351816,NHANES CKD cross-validation,Random Forest
0.25999999999999995,0.1737163602835245,0.1485622082637008,NHANES CKD cross-validation,Random Forest
0.26999999999999996,0.16699769255483835,0.13689867687005286,NHANES CKD cross-validation,Random Forest
0.27999999999999997,0.15991471215351816,0.12491115849324805,NHANES CKD cross-validation,Random Forest
0.29,0.15613832247214632,0.11258596354244871,NHANES CKD cross-validation,Random Forest
0.3,0.15047212915016756,0.09990862016448365,NHANES CKD cross-validation,Random Forest
0.31,0.1453215290009579,0.0868638175581718,NHANES CKD cross-validation,Random Forest
0.31999999999999995,0.14317070111626745,0.07343534428696857,NHANES CKD cross-validation,Random Forest
0.32999999999999996,0.14117843617732237,0.05960602106737106,NHANES CKD cross-validation,Random Forest
0.33999999999999997,0.1376235704593914,0.04535762744717975,NHANES CKD cross-validation,Random Forest
0.35,0.132688207315073,0.030670821715597818,NHANES CKD cross-validation,Random Forest
0.36,0.12769856076759062,0.015525053304904002,NHANES CKD cross-validation,Random Forest
